R,G,B,Hue,HSL_S,HSL_L,label
0,46,99,212.0,100.0,19.0,black
37,53,41,135.0,18.0,18.0,black
1,2,3,210.0,50.0,1.0,black
0,66,66,180.0,100.0,13.0,black
0,64,64,180.0,100.0,13.0,black
27,27,27,0.0,0.0,11.0,black
1,2,3,210.0,50.0,1.0,black
59,60,54,70.0,5.0,22.0,black
0,46,99,212.0,100.0,19.0,black
0,0,0,0.0,0.0,0.0,black
84,98,111,209.0,14.0,38.0,black
0,46,99,212.0,100.0,19.0,black
0,64,64,180.0,100.0,13.0,black
0,64,64,180.0,100.0,13.0,black
27,27,27,0.0,0.0,11.0,black
59,60,54,70.0,5.0,22.0,black
37,53,41,135.0,18.0,18.0,black
27,27,27,0.0,0.0,11.0,black
27,27,27,0.0,0.0,11.0,black
84,98,111,209.0,14.0,38.0,black
191,175,178,349.0,11.0,72.0,black
59,60,54,70.0,5.0,22.0,black
61,12,2,10.0,94.0,12.0,black
27,27,27,0.0,0.0,11.0,black
1,11,19,207.0,90.0,4.0,black
16,12,8,30.0,33.0,5.0,black
191,175,178,349.0,11.0,72.0,black
61,12,2,10.0,94.0,12.0,black
1,11,19,207.0,90.0,4.0,black
59,60,54,70.0,5.0,22.0,black
0,0,0,0.0,0.0,0.0,black
1,11,19,207.0,90.0,4.0,black
0,0,0,0.0,0.0,0.0,black
191,175,178,349.0,11.0,72.0,black
1,2,3,210.0,50.0,1.0,black
1,11,19,207.0,90.0,4.0,black
36,33,36,300.0,4.0,14.0,black
0,0,0,0.0,0.0,0.0,black
0,64,64,180.0,100.0,13.0,black
0,64,64,180.0,100.0,13.0,black
0,66,66,180.0,100.0,13.0,black
0,0,0,0.0,0.0,0.0,black
1,11,19,207.0,90.0,4.0,black
1,11,19,207.0,90.0,4.0,black
0,66,66,180.0,100.0,13.0,black
16,12,8,30.0,33.0,5.0,black
16,12,8,30.0,33.0,5.0,black
0,66,66,180.0,100.0,13.0,black
