R,S,T,U,V,W,label
605.0979040814029,409.9493692067459,681.591813893265,587.755459528332,836.9903173311454,1000.0,polyester
0.0,237.49225989232016,0.0,238.2561748136463,336.2225838581623,0.0,denim
772.0273163459102,428.54568625239153,759.5222644376065,794.5131229875416,603.7152092959689,1000.0,polyester
887.4459352032842,812.2357785363114,613.8832188014015,776.7546557669705,732.7712528347226,711.2531274053733,polyester
112.00275517341333,303.0912799249086,642.958089997094,459.3236545715163,468.6975924857878,702.1633335206102,cotton
412.913345889937,832.7284141073075,1000.0,968.6314835679398,690.6164627821311,655.3507598104347,polyester
884.868165739156,1000.0,926.8003198204257,883.371705997743,1000.0,1000.0,polyester
329.9436681779095,256.47185686185026,341.08958326985464,421.98306170822093,595.7684510458906,516.6713759846183,cotton
82.35376105119045,0.0,0.0,0.0,0.0,0.0,denim
0.0,165.76827411068393,0.0,182.80330089990332,117.017287706497,0.0,denim
503.0117212581583,386.0289402263417,689.2993542651425,386.2746254071402,386.36758949972216,974.9203138216051,cotton
767.266480618555,586.7527635757917,482.33135603429366,698.5113865626853,704.0412026352498,765.8208573581048,polyester
143.0504215850936,280.6001768330981,33.931764760904535,3.027447007212757,369.3933952551297,0.0,denim
349.27363748533514,90.38696356723393,331.7349446995763,248.95017492843797,12.224273058512011,317.2395360097904,cotton
252.179247302747,218.16518115770532,457.3965898299498,31.021564978412187,191.40263852367252,386.8048506978987,cotton
0.0,235.95600294044687,57.99558854613481,0.0,0.0,0.0,denim
413.2702742987173,511.16585208853866,363.79911931116754,521.3338590492473,508.99046893436315,376.6532147876864,cotton
0.0,33.716459203889585,87.53830971235867,0.0,243.64079223820067,32.735782819653025,denim
786.9430281175382,621.9344203785978,710.6793252294893,884.9575337754588,958.7926583096967,1000.0,polyester
830.6553519839757,686.0133007419083,828.0110056218456,1000.0,980.1232733711839,1000.0,polyester
590.5309119228898,501.02701391964933,724.0856539249617,765.7771299991678,1000.0,1000.0,polyester
744.3511988762586,879.5235803883038,960.826114029929,1000.0,977.9438894379391,1000.0,polyester
276.34959362555935,69.82303668515317,422.7443980930555,96.57211913303449,214.05218356310507,26.31928257531481,denim
78.91416468537804,87.80624058790046,138.45735908952136,321.0088052473142,182.77757400655767,0.0,denim
33.51425551875048,238.22543875464376,269.0389298966468,2.8449563891217764,0.0,21.631408812267992,denim
138.8714259703359,24.627690761590713,59.5202934575336,0.0,231.7019730913573,354.3666808623907,cotton
915.6972181279087,876.3697009231072,1000.0,986.9334009204342,816.4037627190689,1000.0,polyester
229.95570178579715,221.20738330579607,96.62522033905479,503.2146248014491,98.35651447081406,361.64464749346917,cotton
153.62261151461607,0.0,139.90148412062797,146.19912346602783,325.22214141777005,210.3753134160479,denim
244.25435241724895,416.79897720248516,329.3625482414319,149.31653497325192,178.66885886179176,347.6651177556755,cotton
380.147013103724,210.23198155285834,86.02910232171277,125.52657064183127,377.02805876912436,10.580201392911782,denim
44.12211728379101,151.0476503030472,463.9910119098916,232.4299725138878,0.0,160.6520267892938,denim
308.0395629471883,678.3102768360679,674.1748465364578,453.04436538586356,310.9953343416586,923.126663798088,cotton
0.0,0.0,256.2054986414575,499.2525630487258,202.94367698780135,0.0,denim
190.15613218024635,72.0579657200391,195.2324950696453,0.0,13.612332081412283,146.39154582350275,denim
260.4483919297866,133.31326062775514,340.8525269846879,216.7807283218786,118.94285803243764,389.90147548481934,denim
720.85132510956,521.0932896341533,578.0807925336517,945.6016986183273,909.6730383079453,640.5516937912366,polyester
671.3484148754571,826.8082859883322,1000.0,858.1905455179832,975.7192461450355,1000.0,polyester
0.0,0.0,0.0,4.064843582496096,24.386872475378702,251.75345152022965,denim
216.18136851762017,201.33065766274729,6.453923809776256,257.86516530665557,97.46321952621459,0.0,denim
491.20230382750646,562.528639835028,535.9568910182445,505.75704860058835,605.5694331411921,654.3735136591864,cotton
440.2144013690672,425.8088670160088,621.3769034559085,508.00329823974744,756.6617957867916,441.1615739127153,cotton
517.4668396453624,392.4600968130355,510.7952266444759,445.57418133825246,680.3386454339139,741.9158689720534,polyester
146.29497096439295,0.0,15.64478223276113,200.63520009142326,0.0,17.358265054571028,denim
212.1793165983578,292.09955088190503,241.9497927495991,291.01654311452364,168.57787151486616,499.1876662853805,cotton
748.8542701407968,825.8744795597294,849.1093959349032,881.4888707409757,1000.0,980.1863235263359,polyester
942.9387449088493,531.5236387723785,1000.0,1000.0,1000.0,918.1246794870922,polyester
124.46234675490028,241.83115179100594,595.215131299679,0.0,0.0,0.0,denim
455.3986621371984,410.04083315577924,496.75500709173116,368.35181350058997,149.34270796854696,454.5502414703087,cotton
207.22300950525803,87.3867992862357,116.20609155131979,204.96578296839425,113.08160710201176,80.15243712912269,cotton
134.4413879774222,228.03746123654906,0.0,10.477937615647178,103.31734366066266,0.0,denim
203.23761911223332,4.500718715059236,41.167352570962024,450.08989616537895,79.02048571672549,77.94471753271525,denim
572.6507999028478,871.8055837514504,754.870056036903,1000.0,1000.0,1000.0,polyester
67.43238433496441,146.88169021814554,171.42422272989475,0.0,40.19916123428093,277.86536605668806,denim
51.64262629741903,367.8281841175549,152.66291679022532,422.1277941712808,297.45636771625595,121.14525347232339,denim
292.6923287283578,651.4746800974146,369.2805988461946,392.5009232325606,612.9163950993907,420.6075687237585,cotton
358.15692603126695,466.2459190193132,755.9498997929197,484.09051361503555,515.6778864586466,350.25501759569966,cotton
598.9521434773493,498.4510128717608,343.1601342512603,633.552638037982,702.6496331512548,583.9676638419777,cotton
515.0657070388439,747.7753151015801,681.9521552610885,334.223067633521,476.05597166504987,759.7027078087787,polyester
320.8389451560723,18.394725193948403,323.14376831718033,193.10176411455006,232.04910995928404,240.3266047748129,cotton
0.0,173.86195664087046,224.54017945165356,0.0,79.80679824897405,97.48578392931623,denim
59.94636508618582,0.0,276.1837637302127,98.88688871753016,167.75092564314988,161.45983027953656,denim
222.11725552511567,251.7398276444166,299.8087996908039,298.5905044614366,0.0,313.75611469680723,cotton
875.037177487848,916.4301658662444,1000.0,927.2672702880419,955.652666263649,933.4168085085485,polyester
474.3867857924786,478.94851789161515,340.73801953178696,450.72791809647487,562.5901250043343,368.49446297444945,cotton
716.3396630577644,744.8691238515848,826.2024308745205,1000.0,928.6696883397932,725.377051339517,polyester
316.5722730717231,0.0,575.1007051224901,502.82758868119396,673.4279118058125,647.1774916161442,cotton
313.2381983346207,427.0879093239595,672.990493031653,474.33530279741854,623.2321556821099,436.9365195329848,cotton
232.8749093641801,168.1673801588122,0.0,94.78507899693514,47.50190819293008,0.0,denim
341.48351776736104,454.497570745751,284.74694323702363,756.054063372816,592.6766144429096,715.6995511353371,cotton
0.0,91.60303944051553,205.4214795934493,90.23751102671238,32.88611894745317,0.0,denim
0.0,327.55009706627874,0.0,0.0,92.66822908462434,45.550216484178264,denim
824.1881115091533,1000.0,1000.0,604.4769245211352,1000.0,1000.0,polyester
264.7915920296286,270.84965843272573,395.13974336745014,5.315417016087565,247.29018534850968,264.9703912483952,cotton
839.5079143068908,1000.0,790.7432861984696,923.6352528778548,1000.0,562.0712124467439,polyester
284.0969242849188,252.7002688083839,153.9520318763498,212.44405583355788,402.02106180874694,336.1197833770804,cotton
49.754962510009086,0.0,0.0,0.0,186.75734628343548,304.9620667810991,denim
405.3391872671981,55.99138189353687,377.4180324958481,525.9935191398356,718.7999084889814,670.3786970514849,cotton
598.8884547351856,513.3062742399889,593.2417488146409,595.4917294181819,1000.0,318.89213445227654,polyester
38.988995029614046,196.4554429753181,0.0,0.0,169.10391504898092,411.8732163512697,denim
792.361938173823,673.0817662777727,619.5297154430848,879.8772487494481,735.8794676664064,516.5051231735561,polyester
286.14120352528244,525.7746333397138,389.22209288979104,681.5952632781307,589.4414613958404,316.2155297661919,cotton
596.1757245375138,655.5263263519158,632.9461397205306,489.8109513844969,758.5657703776149,823.0401464334133,polyester
514.5473393138783,843.8900937874595,997.4968035222266,682.1844157986885,794.6523181761986,817.6000279919672,polyester
744.069311096209,869.6519835517449,938.5965482761825,671.8365920889739,1000.0,1000.0,polyester
251.25596130601812,275.6297191866689,275.82198720522547,0.0,0.0,164.87105510536549,cotton
522.1206706503704,754.6332230645955,493.429389446945,581.1218407957969,921.4286828010372,963.309403359874,polyester
712.6721407513537,868.0064547545974,725.3050844291049,885.2564603195043,1000.0,835.0124741685573,polyester
255.40251851499625,0.0,0.0,117.3290283237666,349.6972624452712,0.0,cotton
147.5097217185056,22.409888941639338,0.0,0.0,157.77199454939182,277.1947888769579,denim
282.83490277313433,332.5513718000689,38.365744029556566,251.02039240304205,212.53848760206952,305.3951395304199,cotton
78.15238575768262,321.7439246648893,113.48775290215124,77.44606224610719,71.74526238431002,259.0482236890183,denim
42.461973108741425,123.94787109358492,237.54007788156443,0.0,199.40759780804908,178.58513770904517,denim
177.19940096925487,157.11707058108811,0.0,549.2054401150092,351.05976249771584,678.461781969461,cotton
423.8870238625591,741.2713013079876,548.2519289645309,700.4026409194221,807.4753556968784,749.9719252463963,polyester
179.04944449256405,544.5118770434963,244.89594074637537,489.2393420234041,601.1366204857899,541.083351074508,cotton
0.0,36.99379949680727,39.5516693837055,17.19641108237775,218.5690754834469,193.6986084826205,denim
411.3184773821265,641.8859850467954,869.9762919103898,746.8607279590312,875.3264079338223,640.6250516075136,polyester
918.3817889223097,1000.0,882.3054709738516,1000.0,719.5822452068661,1000.0,polyester
516.8033336592903,895.488674121884,678.8726477852501,952.8368239594286,858.3360839094777,234.2984439318575,polyester
748.0920139001887,919.8431706107158,1000.0,798.9279038086185,1000.0,934.5953130927389,polyester
871.2281892459847,826.8584106484307,904.4606186125962,968.3406674247393,862.4404619140543,929.6484522562171,polyester
31.675163314435608,58.18149444297137,0.0,145.6150157389843,324.517363881447,10.456280969853058,denim
619.657515232903,661.3183343417278,669.239696963628,775.0383055601073,437.82527528843565,565.242395275061,polyester
0.0,91.30728347807678,0.0,68.72687897925894,63.35411409361544,229.07850269422937,denim
803.5046101477725,819.772702414747,968.6905805014293,941.8549660474156,829.3182881407238,910.8560865623133,polyester
472.5285007660953,484.14594326077383,868.9017284809012,985.9086617073717,988.6212149904748,875.9302647344037,polyester
48.27090878729891,273.1769145327841,0.0,220.82002227178782,352.29978285293186,59.45333022033534,denim
310.60987032633614,41.597682803813,260.0419722434379,498.84727906989394,237.29691439384985,355.9740579115764,cotton
0.0,49.021816983557954,90.34690971819208,129.55025547271947,278.2396266676791,314.497259348959,denim
196.02744140183486,109.21123121540246,160.33575550771135,52.54486547656238,351.0320518835865,107.64684308701078,denim
737.5910630452498,1000.0,868.8557493127046,355.21978484657507,823.2452108938415,1000.0,polyester
108.62582621590109,146.8764105274701,299.6858609673636,0.0,273.09387102944453,292.1634137662518,cotton
481.4059616710865,645.0803589500099,653.6048847836641,637.9468528585082,882.1885160068235,683.8916028887709,polyester
834.746426701025,791.5291141716192,1000.0,742.7758517717446,856.5156604312286,965.3963826828975,polyester
39.81164777080028,352.4144700674169,0.0,204.70089773522807,94.00515747121686,0.018524836573405423,denim
124.11493215014568,0.0,0.0,0.0,420.1011526460889,144.96783661509045,denim
122.16137593276552,0.0,0.0,0.0,0.0,83.91085438648008,denim
325.2890990454558,498.0571180188016,77.14571934196081,0.0,225.7376454616799,0.0,denim
606.0587329464094,683.972992154658,543.1299485777724,899.3500327762072,824.7396531348081,675.0906421501581,polyester
223.4350140893714,241.47934539243855,486.75115926683264,351.0642164290226,441.34354102352097,241.35711476562028,cotton
705.0521754607171,822.3348180301915,534.0761866810137,982.7064857318244,888.9368102515007,904.4981524046703,polyester
782.1984198274845,940.2079163016406,738.4328785177865,1000.0,1000.0,963.6758073711004,polyester
945.5496940447174,845.2916874680088,847.2406763104625,939.2133585962778,869.6638159328604,1000.0,polyester
904.8742022913375,1000.0,684.7064336501102,1000.0,1000.0,1000.0,polyester
145.72144724844986,142.78406859480094,141.40411319021482,59.66247966962243,330.1211418019819,0.0,denim
267.39344382871263,0.0,0.0,0.0,0.0,69.15560351364167,denim
474.48915910624976,831.6953321167578,739.962254849942,818.1178878125374,651.2921940879863,928.1324246828491,polyester
5.9450135610698425,0.0,182.26673814025582,72.88193597439444,368.8524241030971,19.452698074251096,denim
495.13231868371486,414.9933872322385,845.7297953817781,712.3184851680264,690.6500657026223,715.9111261426128,polyester
332.47657706038376,157.06609457910963,474.99955856037184,354.70605179106553,666.7353985978835,466.87252337380426,cotton
199.87626387313904,181.95258885916056,314.55382381542466,671.4452500320524,370.23446136955715,850.2514645500823,cotton
458.6991172980409,278.4628293764487,379.42465631392366,469.7623361806165,565.3021015714718,442.8873750268345,cotton
86.23760610919247,0.0,196.17867040317893,0.0,0.0,107.27940293760037,denim
474.74016264902434,734.413346800283,670.9714246205103,827.3835567073917,928.8675793372455,476.39198707179133,polyester
0.0,0.0,69.01934957944914,406.07037226838645,0.0,201.29769326141326,denim
221.3820464817361,0.0,154.23496305422526,335.07064005355926,86.39082367177139,459.78284988205144,cotton
777.1776328212144,609.9421009038217,789.4508054889271,999.6909005369063,767.3619901499934,652.6755883714368,polyester
660.7679742523972,347.09307534769806,297.65207222545314,303.92072015293274,107.45458482482343,440.6469668644038,cotton
481.65737879695223,0.0,0.0,0.0,0.0,140.97235444064233,denim
107.81677436743092,280.3213978157466,140.78754492524942,0.0,169.52095222606548,53.55029660983286,denim
580.7265743720718,675.4195778473322,863.9626419034208,849.1518908312083,896.4092329393458,899.0564813843573,polyester
0.0,230.7497120280317,0.0,39.19997261380267,0.0,4.458630390407009,denim
416.2710215254094,411.9341060725521,497.928258843826,395.8628846341352,592.7305874074036,854.781245937619,cotton
283.1486096019505,417.8379831991928,637.5708987737344,425.7403633722632,358.5694543521154,410.7200398383999,cotton
674.95598680907,689.2347777606183,992.1366914015831,688.1661937005883,1000.0,1000.0,polyester
32.4743361872695,98.3154285776385,48.153297223680894,58.71469113957137,52.12882832181968,287.62576292786133,denim
642.3325111846185,661.7719273435453,634.1095073412966,915.8528865231199,845.9614767286328,957.5700530098417,polyester
533.1509691709813,435.03552867193844,459.22692060983144,233.10890533318505,482.8456477814365,346.26944470496153,cotton
102.38387595161137,66.46020347643199,124.13863324403955,127.34674314934222,520.7073148960261,226.40110554138812,denim
67.51221750170482,0.0,87.77811490351105,280.10060943801165,0.0,157.03091900620277,denim
42.68068083099615,350.3155179149849,190.3423505101519,205.00537005009676,289.73345217177365,0.0,cotton
0.0,271.5564359354988,62.6661099200538,155.5653633477536,382.25952502730263,19.808015428926097,cotton
36.03765676611958,17.512521248193906,127.99263975386255,217.23292439388564,0.0,123.3192835690282,denim
385.8086986102036,430.1073710372354,535.191991757283,308.5168622293793,237.91125212473492,501.5239369610119,cotton
838.4268085235484,572.9466354995324,687.8413189074025,738.0732146085925,657.5974250451478,652.104487764977,polyester
605.5321544365279,571.187920407144,716.3955481736932,565.6636169866521,911.0149803050931,1000.0,polyester
522.7559203565546,435.2693953166944,715.0966590737642,167.78538488439779,457.9599925677016,365.2215981792284,cotton
